leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
IAL000013,Swati A. Dandekar,Swati,A.,Dandekar,,,False,ia,,,,42791ca95d114e63a88da77bc4c467f9,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=200,2011-09-13 01:16:50.454000,2012-07-12 15:55:22.729000
IAL000051,Ako Abdul-Samad,Ako,,Abdul-Samad,,,True,ia,lower,66,Democratic,f4971a103a7141b89dd98359f8519034,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=6485,2011-09-13 01:16:50.957000,2012-10-29 04:04:00.091000
IAL000052,Dwayne Alons,Dwayne,,Alons,,,True,ia,lower,4,Republican,326ab21aa917484294bb1c092438db1a,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=5,2011-09-13 01:16:50.975000,2012-10-29 04:04:00.093000
IAL000053,Richard Anderson,Richard,,Anderson,,,True,ia,lower,97,Republican,80acdce8cf8b4e959209b87648e5835c,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=777,2011-09-13 01:16:51.017000,2012-10-29 04:04:00.094000
IAL000054,Richard D. Arnold,Richard,D.,Arnold,,,True,ia,lower,72,Republican,3e97c91259f24d37beee00151ffb0160,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=91,2011-09-13 01:16:51.028000,2012-10-29 04:04:00.095000
IAL000055,Chip Baltimore,Chip,,Baltimore,,,True,ia,lower,48,Republican,2781f98796f14cb68548592c578ea2b9,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10798,2011-09-13 01:16:51.050000,2012-10-29 04:04:00.096000
IAL000056,Clel Baudler,Clel,,Baudler,,,True,ia,lower,58,Republican,5602187a80df41689a1a4dc9a5c81baf,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=78,2011-09-13 01:16:51.062000,2012-10-29 04:04:00.097000
IAL000057,Deborah L. Berry,Deborah,L.,Berry,,,True,ia,lower,22,Democratic,67479c203e154570a1a3803c12efe565,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=298,2011-09-13 01:16:51.073000,2012-10-29 04:04:00.098000
IAL000058,Mark Brandenburg,Mark,,Brandenburg,,,True,ia,lower,100,Republican,7c94f1e939234b6ca39570331416b27d,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10807,2011-09-13 01:16:51.092000,2012-10-29 04:04:00.100000
IAL000059,Josh Byrnes,Joshua,,Byrnes,,,True,ia,lower,14,Republican,1c9e636d050e4ff2bf25e2ee64dece85,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10788,2011-09-13 01:16:51.103000,2012-10-29 04:04:00.101000
IAL000060,Royd E. Chambers,Royd,E.,Chambers,,,True,ia,lower,5,Republican,09e733a276e84ea9bcc2fc6cf6936145,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=297,2011-09-13 01:16:51.115000,2012-10-29 04:04:00.102000
IAL000061,Dennis M. Cohoon,Dennis,M.,Cohoon,,,True,ia,lower,88,Democratic,ac5d93e1e6fa4f89b0db4605552e451e,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=100,2011-09-13 01:16:51.127000,2012-10-29 04:04:00.103000
IAL000062,Peter Cownie,Peter,,Cownie,,,True,ia,lower,60,Republican,19fb6cf0147e4e508902725ae9da07f0,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=7502,2011-09-13 01:16:51.140000,2012-10-29 04:04:00.104000
IAL000063,Betty R. De Boef,Betty,R.,De Boef,,,True,ia,lower,76,Republican,714d8327a066490ca93dcd339aa7683f,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=96,2011-09-13 01:16:51.151000,2012-10-29 04:04:00.105000
IAL000064,Dave Deyoe,Dave,,Deyoe,,,True,ia,lower,10,Republican,dd5bb42d4d10423ea2460cc5ee089eaf,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=6490,2011-09-13 01:16:51.162000,2012-10-29 04:04:00.106000
IAL000065,Cecil Dolecheck,Cecil,,Dolecheck,,,True,ia,lower,96,Republican,d1c0df61fb6941e2921d08013c101188,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=88,2011-09-13 01:16:51.182000,2012-10-29 04:04:00.108000
IAL000066,Jack Drake,Jack,,Drake,,,True,ia,lower,57,Republican,2ff4b0be426843cdad320f41d404d78d,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=81,2011-09-13 01:16:51.193000,2012-10-29 04:04:00.109000
IAL000067,Greg Forristall,Greg,,Forristall,,,True,ia,lower,98,Republican,0da0558e5908458787b385f119805c1f,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=6489,2011-09-13 01:16:51.205000,2012-10-29 04:04:00.110000
IAL000068,Joel Fry,Joel,,Fry,,,True,ia,lower,95,Republican,4aec551dd51f4a8d98737556440d4d03,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10806,2011-09-13 01:16:51.216000,2012-10-29 04:04:00.111000
IAL000069,Ruth Ann Gaines,Ruth Ann,,Gaines,,,True,ia,lower,65,Democratic,62a99cf493d84b4292fd28e5c09b0ad6,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10810,2011-09-13 01:16:51.227000,2012-10-29 04:04:00.112000
IAL000070,Julian Garrett,Julian,,Garrett,,,True,ia,lower,73,Republican,53485edef1294ce29ef5fb169682979a,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10801,2011-09-13 01:16:51.239000,2012-10-29 04:04:00.113000
IAL000071,Mary Gaskill,Mary,,Gaskill,,,True,ia,lower,93,Democratic,46519dcdb5ad45f08959e7a6e6b6e300,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=255,2011-09-13 01:16:51.250000,2012-10-29 04:04:00.114000
IAL000072,Pat Grassley,Pat,,Grassley,,,True,ia,lower,17,Republican,4e4a9c58a3f5409e918626c7248b9a7a,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=6477,2011-09-13 01:16:51.261000,2012-10-29 04:04:00.115000
IAL000073,Chris Hagenow,Chris,,Hagenow,,,True,ia,lower,59,Republican,eddcd3a6504141a08d2fa52600204ef8,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=7503,2011-09-13 01:16:51.279000,2012-10-29 04:04:00.117000
IAL000074,Bob Hager,Robert,,Hager,,,True,ia,lower,16,Republican,37d0e954471b4d6cbf96f3aad370536c,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10789,2011-09-13 01:16:51.290000,2012-10-29 04:04:00.118000
IAL000075,Chris Hall,Christopher,,Hall,,,True,ia,lower,2,Democratic,4d7fbcfed0ef4dd69c5a5aea8c61b325,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10783,2011-09-13 01:16:51.301000,2012-10-29 04:04:00.119000
IAL000076,Curtis Hanson,Curtis,,Hanson,,,True,ia,lower,90,Democratic,c15d16a21a7547d7b0afb3799818d310,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10340,2011-09-13 01:16:51.313000,2012-10-29 04:04:00.120000
IAL000077,Mary Ann Hanusa,Mary Ann,,Hanusa,,,True,ia,lower,99,Republican,99547e978e864a88a1375d1df93de36d,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10809,2011-09-13 01:16:51.324000,2012-10-29 04:04:00.121000
IAL000078,David E. Heaton,David,E.,Heaton,,,True,ia,lower,91,Republican,deca4104fcbc49e98911d3bef30dafd0,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=97,2011-09-13 01:16:51.335000,2012-10-29 04:04:00.122000
IAL000079,Lisa Heddens,Lisa,,Heddens,,,True,ia,lower,46,Democratic,3518f1b0861645b797f29325f533df01,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=213,2011-09-13 01:16:51.346000,2012-10-29 04:04:00.123000
IAL000080,Lee Hein,Lee,,Hein,,,True,ia,lower,31,Republican,7a9e1fa628d3460da77e1ded792d271f,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10795,2011-09-13 01:16:51.357000,2012-10-29 04:04:00.124000
IAL000081,Erik Helland,Erik,,Helland,,,True,ia,lower,69,Republican,716f61d035bc489f887d0931b5704eb8,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=7509,2011-09-13 01:16:51.370000,2012-10-29 04:04:00.125000
IAL000082,Lance J. Horbach,Lance,J.,Horbach,,,True,ia,lower,40,Republican,7dd5fcdec7e04a9bab65be4a834e5d74,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=60,2011-09-13 01:16:51.384000,2012-10-29 04:04:00.127000
IAL000083,Bruce L. Hunter,Bruce,L.,Hunter,,,True,ia,lower,62,Democratic,de9e87af44044a2d91dd3e19fb075813,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=317,2011-09-13 01:16:51.441000,2012-10-29 04:04:00.128000
IAL000084,Daniel A. Huseman,Daniel,A.,Huseman,,,True,ia,lower,53,Republican,47c2b8de861d4cce81623f16462e949b,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=9,2011-09-13 01:16:51.456000,2012-10-29 04:04:00.129000
IAL000085,Charles Isenhart,Charles,,Isenhart,,,True,ia,lower,27,Democratic,6ecac884dc104926a6eeb35d694f402f,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=7494,2011-09-13 01:16:51.488000,2012-10-29 04:04:00.130000
IAL000086,Stewart Iverson,Stewart,,Iverson,,,True,ia,lower,9,Republican,a066ed06540348beb6b32589a55f08bb,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=109,2011-09-13 01:16:51.499000,2012-10-29 04:04:00.132000
IAL000087,Dave Jacoby,Dave,,Jacoby,,,True,ia,lower,30,Democratic,b1b97fea257c4f3392470babecd4090d,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=320,2011-09-13 01:16:51.510000,2012-10-29 04:04:00.133000
IAL000088,Ronald Jorgensen,Ronald,,Jorgensen,,,True,ia,lower,54,Republican,c58f9916b0d34f459e0b764d5d979367,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10800,2011-09-13 01:16:51.521000,2012-10-29 04:04:00.134000
IAL000089,Anesa Kajtazovic,Anesa,,Kajtazovic,,,True,ia,lower,21,Democratic,4672bca4e5d846d68d013102a739c2cb,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10791,2011-09-13 01:16:51.532000,2012-10-29 04:04:00.135000
IAL000090,Jeff Kaufmann,Jeff,,Kaufmann,,,True,ia,lower,79,Republican,138380b2e51f4850b75a2ecd98304c41,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=780,2011-09-13 01:16:51.543000,2012-10-29 04:04:00.136000
IAL000091,Jerry A. Kearns,Jerry,A.,Kearns,,,True,ia,lower,92,Democratic,d39bb243e22a46bab410b4b47bfe4586,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=7498,2011-09-13 01:16:51.554000,2012-10-29 04:04:00.137000
IAL000092,Daniel Kelley,Daniel,,Kelley,,,True,ia,lower,41,Democratic,11dda0d54d154e959a77c62ee3344595,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10796,2011-09-13 01:16:51.566000,2012-10-29 04:04:00.138000
IAL000093,Jarad Klein,Jarad,,Klein,,,True,ia,lower,89,Republican,82c915f328194659989bd606ff66f701,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10805,2011-09-13 01:16:51.577000,2012-10-29 04:04:00.140000
IAL000094,Kevin Koester,Kevin,,Koester,,,True,ia,lower,70,Republican,6796dc1dfb934d448ad6fa47502f1367,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=7501,2011-09-13 01:16:51.588000,2012-10-29 04:04:00.141000
IAL000095,Bob M. Kressig,Bob,M.,Kressig,,,True,ia,lower,19,Democratic,d43ef219a2a84cf59b2aa109c5b452aa,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=786,2011-09-13 01:16:51.599000,2012-10-29 04:04:00.142000
IAL000096,Vicki S. Lensing,Vicki,S.,Lensing,,,True,ia,lower,78,Democratic,0dd610f41e574272a70674c9b5e6dc01,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=45,2011-09-13 01:16:51.643000,2012-10-29 04:04:00.143000
IAL000097,Mark Lofgren,Mark,,Lofgren,,,True,ia,lower,80,Republican,a51ec7ea7a4149ca881f4d89d7ce2d9b,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10803,2011-09-13 01:16:51.667000,2012-10-29 04:04:00.144000
IAL000098,Steven F. Lukan,Steven,F.,Lukan,,,True,ia,lower,32,Republican,9db09294b08f4301a6def7641815bc7e,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=195,2011-09-13 01:16:51.678000,2012-10-29 04:04:00.145000
IAL000099,Jim Lykam,Jim,,Lykam,,,True,ia,lower,85,Democratic,30206766ff944e60965cc0ca6a046ecb,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=246,2011-09-13 01:16:51.689000,2012-10-29 04:04:00.146000
IAL000100,Mary Mascher,Mary,,Mascher,,,True,ia,lower,77,Democratic,0da346b4dc4141989bb1e9cb21556f7d,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=46,2011-09-13 01:16:51.703000,2012-10-29 04:04:00.147000
IAL000101,Glen Massie,Glen,,Massie,,,True,ia,lower,74,Republican,613cf36eef3a4552bcd832145a569768,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10802,2011-09-13 01:16:51.725000,2012-10-29 04:04:00.148000
IAL000102,Kevin M. McCarthy,Kevin,M.,McCarthy,,,True,ia,lower,67,Democratic,6b28d8390dbe45ddb54fe0c339cbc247,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=300,2011-09-13 01:16:51.736000,2012-10-29 04:04:00.152000
IAL000103,Helen Miller,Helen,,Miller,,,True,ia,lower,49,Democratic,b0abc7398b3f4eff93259087ebf2d9eb,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=219,2011-09-13 01:16:51.748000,2012-10-29 04:04:00.153000
IAL000104,Linda J. Miller,Linda,J.,Miller,,,True,ia,lower,82,Republican,4b4a771ac7cb4ab28842b53e6856265b,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=6487,2011-09-13 01:16:51.759000,2012-10-29 04:04:00.154000
IAL000105,Brian Moore,Brian,,Moore,,,True,ia,lower,25,Republican,6202f9baf5bc497c8fb104f8da7e6721,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10793,2011-09-13 01:16:51.787000,2012-10-29 04:04:00.156000
IAL000106,Daniel Muhlbauer,Daniel,,Muhlbauer,,,True,ia,lower,51,Democratic,52356fcd2a75495ba1731c53d90cd9fe,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10799,2011-09-13 01:16:51.798000,2012-10-29 04:04:00.157000
IAL000107,Patrick Murphy,Patrick,,Murphy,,,True,ia,lower,28,Democratic,6452d6f19bd64365a3503ae38fac83d7,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=36,2011-09-13 01:16:51.809000,2012-10-29 04:04:00.158000
IAL000108,Jo Oldson,Jo,,Oldson,,,True,ia,lower,61,Democratic,969fdfca5f7041cebb2c7bb909d930c0,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=228,2011-09-13 01:16:51.820000,2012-10-29 04:04:00.159000
IAL000109,Rick Olson,Rick,,Olson,,,True,ia,lower,68,Democratic,9d1c3989f4984f4a996aaebdcd23c518,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=781,2011-09-13 01:16:51.831000,2012-10-29 04:04:00.160000
IAL000110,Steven N. Olson,Steven,N.,Olson,,,True,ia,lower,83,Republican,90e6b511dd4f49b9a8e91f32d247eae3,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=243,2011-09-13 01:16:51.841000,2012-10-29 04:04:00.161000
IAL000111,Tyler Olson,Tyler,,Olson,,,True,ia,lower,38,Democratic,f7a00bc9e13248fda1e6a9bed3def9ed,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=6482,2011-09-13 01:16:51.852000,2012-10-29 04:04:00.162000
IAL000112,Kraig Paulsen,Kraig,,Paulsen,,,True,ia,lower,35,Republican,0a52b87d7cc848229fe8b12a51ea99e7,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=199,2011-09-13 01:16:51.866000,2012-10-29 04:04:00.163000
IAL000113,Ross Paustian,Ross,,Paustian,,,True,ia,lower,84,Republican,6d693f1207cb41ee8652a0ba4f2d0d66,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10804,2011-09-13 01:16:51.877000,2012-10-29 04:04:00.164000
IAL000114,Kim Pearson,Kim,,Pearson,,,True,ia,lower,42,Republican,ab49d993812940ca8cddce2941998964,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10797,2011-09-13 01:16:51.888000,2012-10-29 04:04:00.165000
IAL000115,Janet Petersen,Janet,,Petersen,,,True,ia,lower,64,Democratic,ad92e2ed25af4d8883b5745256b79ef7,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=72,2011-09-13 01:16:51.899000,2012-10-29 04:04:00.166000
IAL000116,Dawn E. Pettengill,Dawn,E.,Pettengill,,,True,ia,lower,39,Republican,9ab3235b7fbc4162ab752452f2bc0324,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=778,2011-09-13 01:16:51.910000,2012-10-29 04:04:00.167000
IAL000117,Brian J. Quirk,Brian,J.,Quirk,,,True,ia,lower,15,Democratic,4356c39d2e12487589e5e93df7fdde90,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=30,2011-09-13 01:16:51.921000,2012-10-29 04:04:00.168000
IAL000118,Scott Raecker,J. Scott,,Raecker,,,True,ia,lower,63,Republican,08d96ea2a27f4ca2b41f11cab2d91ec6,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=76,2011-09-13 01:16:51.935000,2012-10-29 04:04:00.170000
IAL000119,Daniel Rasmussen,Daniel,,Rasmussen,,,True,ia,lower,23,Republican,9f82c5d8e202416bbbafe33f88755e89,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=299,2011-09-13 01:16:51.950000,2012-10-29 04:04:00.171000
IAL000120,Henry V. Rayhons,Henry,V.,Rayhons,,,True,ia,lower,11,Republican,8ad175d4d79d47d3a122b7bdcfe4f7f4,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=16,2011-09-13 01:16:51.961000,2012-10-29 04:04:00.172000
IAL000121,Walt Rogers,Walt,,Rogers,,,True,ia,lower,20,Republican,45849b3aebfa448f83e363107ac87619,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10790,2011-09-13 01:16:51.975000,2012-10-29 04:04:00.173000
IAL000122,Kirsten Running-Marquardt,Kirsten,,Running-Marquardt,,,True,ia,lower,33,Democratic,36f255754d7b4a3fa6132597b755588d,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=10553,2011-09-13 01:16:51.990000,2012-10-29 04:04:00.174000
IAL000123,Thomas R. Sands,Thomas,R.,Sands,,,True,ia,lower,87,Republican,9bab8574bf47453d800404a467c5a537,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=249,2011-09-13 01:16:52.040000,2012-10-29 04:04:00.175000
IAL000124,Renee Schulte,Renee,,Schulte,,,True,ia,lower,37,Republican,bebed17c4d5a41bc8cb71d3d3090b62c,http://www.legis.iowa.gov/getPhotoPeople.aspx?GA=84&PID=7505,2011-09-13 01:16:52.051000,2012-10-29 04:04:00.176000
